,precision,recall,f1-score,support
\mapsto,0.8301886792452831,0.9565217391304348,0.8888888888888888,92.0
\leftrightarrow,0.9583333333333334,0.9019607843137255,0.9292929292929293,51.0
\nearrow,0.9130434782608695,1.0,0.9545454545454546,21.0
\rightleftharpoons,0.8260869565217391,0.9047619047619048,0.8636363636363636,21.0
\rightharpoonup,0.9166666666666666,1.0,0.9565217391304348,22.0
\leadsto,0.8529411764705882,0.9206349206349206,0.8854961832061069,63.0
\circlearrowleft,0.7,0.8235294117647058,0.7567567567567568,17.0
\rightleftarrows,1.0,1.0,1.0,13.0
\circlearrowright,1.0,0.35714285714285715,0.5263157894736842,14.0
\rightrightarrows,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
\rightsquigarrow,0.7142857142857143,0.5555555555555556,0.625,18.0
\curvearrowright,0.9444444444444444,1.0,0.9714285714285714,17.0
\twoheadrightarrow,0.78,0.9285714285714286,0.8478260869565217,42.0
\nRightarrow,0.8333333333333334,1.0,0.9090909090909091,10.0
\nrightarrow,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
\upharpoonright,0.9230769230769231,0.8571428571428571,0.8888888888888888,14.0
\mapsfrom,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
\shortrightarrow,0.0,0.0,0.0,28.0
\lightning,0.8166666666666667,0.8909090909090909,0.8521739130434782,55.0
\vartheta,0.8928571428571429,0.8620689655172413,0.8771929824561403,29.0
\varpi,0.875,0.9333333333333333,0.9032258064516129,15.0
\bot,0.42857142857142855,0.04054054054054054,0.07407407407407407,74.0
\forall,0.9634703196347032,0.985981308411215,0.9745958429561201,214.0
\ni,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
\top,0.7435897435897436,0.8529411764705882,0.7945205479452054,34.0
\ell,0.8979591836734694,0.967032967032967,0.9312169312169312,91.0
\hbar,0.875,0.9423076923076923,0.9074074074074074,52.0
\in,0.8659003831417624,0.9826086956521739,0.9205702647657841,230.0
\notin,0.9219858156028369,0.9923664122137404,0.9558823529411765,131.0
\wp,0.7368421052631579,0.7777777777777778,0.7567567567567568,36.0
\exists,1.0,0.9929078014184397,0.99644128113879,141.0
\Im,0.9,0.6923076923076923,0.782608695652174,13.0
\Re,0.4444444444444444,0.4,0.42105263157894735,20.0
\nexists,1.0,0.96875,0.9841269841269841,32.0
\langle,0.9058823529411765,1.0,0.9506172839506173,77.0
\rangle,0.9230769230769231,0.75,0.8275862068965517,16.0
\lceil,0.6041666666666666,0.8285714285714286,0.6987951807228916,35.0
\rceil,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
\lfloor,0.9375,0.7142857142857143,0.8108108108108109,42.0
\rfloor,0.9,0.6,0.72,15.0
[,0.891566265060241,0.8043478260869565,0.8457142857142858,92.0
],0.9565217391304348,0.8461538461538461,0.8979591836734694,26.0
|,0.0,0.0,0.0,52.0
\|,0.625,0.2702702702702703,0.37735849056603776,37.0
/,0.7936507936507936,0.9259259259259259,0.8547008547008547,54.0
\llbracket,0.9090909090909091,0.8974358974358975,0.9032258064516129,78.0
\rrbracket,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
\vdots,0.9318181818181818,1.0,0.9647058823529412,41.0
\ddots,0.975,0.975,0.975,40.0
\dotsc,0.0,0.0,0.0,15.0
\aleph,0.9076923076923077,0.7662337662337663,0.8309859154929577,77.0
\infty,0.979381443298969,0.976027397260274,0.9777015437392796,292.0
\prime,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
\angle,0.84,0.875,0.8571428571428571,24.0
\diamondsuit,0.5,0.5,0.5,12.0
\sharp,0.625,0.625,0.625,24.0
\backslash,0.0,0.0,0.0,26.0
\emptyset,0.6091954022988506,0.5578947368421052,0.5824175824175825,95.0
\nabla,0.8561151079136691,0.9754098360655737,0.9118773946360154,122.0
