,precision,recall,f1-score,support
\boxtimes,0.8148148148148148,1.0,0.8979591836734694,22.0
\rtimes,0.7931034482758621,0.8518518518518519,0.8214285714285714,27.0
\circledast,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
\lhd,0.5555555555555556,0.45454545454545453,0.5,11.0
\prod,0.5645161290322581,0.625,0.5932203389830508,112.0
\coprod,0.47619047619047616,0.5882352941176471,0.5263157894736842,17.0
\oint,0.9327731092436975,0.9327731092436975,0.9327731092436975,119.0
\parr,0.6363636363636364,0.7,0.6666666666666666,10.0
\with,0.6666666666666666,0.09523809523809523,0.16666666666666666,21.0
\fint,0.6,0.8,0.6857142857142857,30.0
\varoiint,0.5,0.4,0.4444444444444444,15.0
\oiint,0.6923076923076923,0.84375,0.7605633802816901,32.0
\approx,0.9949748743718593,0.9658536585365853,0.9801980198019802,205.0
\equiv,0.9433962264150944,0.9920634920634921,0.9671179883945842,252.0
\not\equiv,0.7954545454545454,0.8974358974358975,0.8433734939759037,39.0
\perp,0.610738255033557,0.8198198198198198,0.7,111.0
\asymp,0.9230769230769231,0.8,0.8571428571428571,15.0
\frown,1.0,0.5555555555555556,0.7142857142857143,9.0
\prec,0.86,0.8113207547169812,0.8349514563106796,53.0
\succ,0.7555555555555555,0.918918918918919,0.8292682926829268,37.0
\bowtie,0.6153846153846154,0.3333333333333333,0.43243243243243246,24.0
\preceq,0.7692307692307693,0.7142857142857143,0.7407407407407407,28.0
\succeq,1.0,0.5238095238095238,0.6875,21.0
\mid,0.35,0.6176470588235294,0.44680851063829785,34.0
\vdash,0.99,0.9252336448598131,0.9565217391304348,107.0
\dashv,1.0,0.8636363636363636,0.926829268292683,22.0
\models,0.5192307692307693,0.5625,0.54,48.0
\sim,0.9455445544554455,0.9502487562189055,0.9478908188585607,201.0
\doteq,0.8181818181818182,1.0,0.9,18.0
\parallel,0.7368421052631579,0.3888888888888889,0.509090909090909,36.0
\simeq,0.9222222222222223,0.9431818181818182,0.9325842696629213,88.0
\backsim,0.7142857142857143,0.3333333333333333,0.45454545454545453,15.0
\multimap,0.8333333333333334,1.0,0.9090909090909091,10.0
\pitchfork,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
\therefore,1.0,1.0,1.0,77.0
\because,1.0,0.9545454545454546,0.9767441860465116,22.0
\between,0.8888888888888888,0.8,0.8421052631578947,10.0
\preccurlyeq,0.8461538461538461,0.5789473684210527,0.6875,19.0
\varpropto,0.0,0.0,0.0,14.0
\Vdash,0.875,1.0,0.9333333333333333,14.0
\vDash,0.4418604651162791,0.41304347826086957,0.42696629213483145,46.0
\nmid,0.8048780487804879,0.9428571428571428,0.868421052631579,35.0
\nvDash,0.7894736842105263,1.0,0.8823529411764706,15.0
\sqsubseteq,0.6923076923076923,0.9310344827586207,0.7941176470588235,29.0
\nsubseteq,0.7647058823529411,0.65,0.7027027027027027,20.0
\subsetneq,0.875,0.875,0.875,24.0
\varsubsetneq,0.6923076923076923,0.9,0.782608695652174,10.0
\neq,0.9328859060402684,0.9084967320261438,0.9205298013245033,153.0
\geqslant,0.6666666666666666,0.5806451612903226,0.6206896551724138,31.0
\gtrless,0.8,0.8,0.8,10.0
\lesssim,0.8,0.9230769230769231,0.8571428571428571,78.0
\gtrsim,0.828125,0.8153846153846154,0.8217054263565892,65.0
\leqslant,0.5272727272727272,0.725,0.6105263157894737,40.0
\trianglelefteq,0.875,0.8235294117647058,0.8484848484848485,17.0
\blacktriangleright,1.0,1.0,1.0,6.0
\triangleq,0.9642857142857143,0.9473684210526315,0.9557522123893806,57.0
\Downarrow,0.7619047619047619,0.9411764705882353,0.8421052631578947,17.0
\downarrow,0.8260869565217391,0.9047619047619048,0.8636363636363636,21.0
\Rightarrow,0.8315217391304348,0.8693181818181818,0.85,176.0
\hookrightarrow,0.9333333333333333,0.835820895522388,0.8818897637795275,67.0
\Longleftrightarrow,0.3181818181818182,0.2916666666666667,0.30434782608695654,24.0
\searrow,0.6818181818181818,1.0,0.8108108108108109,15.0
\longmapsto,0.0,0.0,0.0,19.0
\leftarrow,0.9411764705882353,0.7619047619047619,0.8421052631578947,21.0
\Longrightarrow,0.25,0.14814814814814814,0.18604651162790697,27.0
\uparrow,0.9090909090909091,0.8695652173913043,0.8888888888888888,23.0
\Leftarrow,0.65,0.9285714285714286,0.7647058823529411,14.0
\longrightarrow,0.3333333333333333,0.04,0.07142857142857142,25.0
\Leftrightarrow,0.84251968503937,0.8629032258064516,0.852589641434263,124.0
\mapsto,0.7456140350877193,0.9239130434782609,0.8252427184466019,92.0
\leftrightarrow,0.8113207547169812,0.8431372549019608,0.8269230769230769,51.0
